date,daily_posts,daily_likes,daily_furries,total_bsky_users,total_furries,total_likes,total_posts,new_bsk_users,elapsed_day,weekday,month,day
2023-05-13,0,0,18,77670.0,18,0,0,0,0,Saturday,May,13
2023-05-14,65,695,69,79287.0,87,695,65,1617,1,Sunday,May,14
2023-05-15,129,1618,17,80646.0,104,2313,194,1359,2,Monday,May,15
2023-05-16,244,3002,11,81992.0,115,5315,438,1346,3,Tuesday,May,16
2023-05-17,225,2730,3,83680.0,118,8045,663,1688,4,Wednesday,May,17
2023-05-18,269,2612,22,84928.0,140,10657,932,1248,5,Thursday,May,18
2023-05-19,226,2149,20,85944.0,160,12806,1158,1016,6,Friday,May,19
2023-05-20,251,2230,1,86883.0,161,15036,1409,939,7,Saturday,May,20
2023-05-21,206,2166,4,87940.0,165,17202,1615,1057,8,Sunday,May,21
2023-05-22,178,1926,2,89274.0,167,19128,1793,1334,9,Monday,May,22
2023-05-23,145,1304,1,91106.0,168,20432,1938,1832,10,Tuesday,May,23
2023-05-24,160,1547,40,92987.0,208,21979,2098,1881,11,Wednesday,May,24
2023-05-25,179,1651,1,95059.0,209,23630,2277,2072,12,Thursday,May,25
2023-05-26,268,3191,20,96756.0,229,26821,2545,1697,13,Friday,May,26
2023-05-27,286,3150,8,98239.0,237,29971,2831,1483,14,Saturday,May,27
2023-05-28,314,3460,15,99806.0,252,33431,3145,1567,15,Sunday,May,28
2023-05-29,234,2642,6,101482.0,258,36073,3379,1676,16,Monday,May,29
2023-05-30,336,2997,0,102804.0,258,39070,3715,1322,17,Tuesday,May,30
2023-05-31,226,2468,7,104153.0,265,41538,3941,1349,18,Wednesday,May,31
2023-06-01,241,2362,0,105663.0,265,43900,4182,1510,19,Thursday,June,1
2023-06-02,292,2379,0,106775.0,265,46279,4474,1112,20,Friday,June,2
2023-06-03,286,1922,20,107934.0,285,48201,4760,1159,21,Saturday,June,3
2023-06-04,256,1544,0,109088.0,285,49745,5016,1154,22,Sunday,June,4
2023-06-05,303,1725,0,110458.0,285,51470,5319,1370,23,Monday,June,5
2023-06-06,162,1462,0,112305.0,285,52932,5481,1847,24,Tuesday,June,6
2023-06-07,220,1614,0,114149.0,285,54546,5701,1844,25,Wednesday,June,7
2023-06-08,264,1896,14,116349.0,299,56442,5965,2200,26,Thursday,June,8
2023-06-09,249,1602,0,118464.0,299,58044,6214,2115,27,Friday,June,9
2023-06-10,237,1685,0,120755.0,299,59729,6451,2291,28,Saturday,June,10
2023-06-11,215,1513,10,123315.0,309,61242,6666,2560,29,Sunday,June,11
2023-06-12,233,1695,29,125268.0,338,62937,6899,1953,30,Monday,June,12
2023-06-13,339,2961,16,128772.0,354,65898,7238,3504,31,Tuesday,June,13
2023-06-14,292,2125,23,131627.0,377,68023,7530,2855,32,Wednesday,June,14
2023-06-15,315,2993,27,134223.0,404,71016,7845,2596,33,Thursday,June,15
2023-06-16,387,3204,10,136391.0,414,74220,8232,2168,34,Friday,June,16
2023-06-17,521,3763,0,137641.0,414,77983,8753,1250,35,Saturday,June,17
2023-06-18,392,3070,5,138988.0,419,81053,9145,1347,36,Sunday,June,18
2023-06-19,480,3192,18,140227.0,437,84245,9625,1239,37,Monday,June,19
2023-06-20,375,2684,0,146035.0,437,86929,10000,5808,38,Tuesday,June,20
2023-06-21,399,3195,17,154424.0,454,90124,10399,8389,39,Wednesday,June,21
2023-06-22,867,7739,80,158200.0,534,97863,11266,3776,40,Thursday,June,22
2023-06-23,815,7302,12,160270.0,546,105165,12081,2070,41,Friday,June,23
2023-06-24,635,5079,25,162306.0,571,110244,12716,2036,42,Saturday,June,24
2023-06-25,586,3975,1,164900.0,572,114219,13302,2594,43,Sunday,June,25
2023-06-26,584,4842,25,169984.0,597,119061,13886,5084,44,Monday,June,26
2023-06-27,712,6112,20,174921.0,617,125173,14598,4937,45,Tuesday,June,27
2023-06-28,628,5315,18,179676.0,635,130488,15226,4755,46,Wednesday,June,28
2023-06-29,638,4646,12,184659.0,647,135134,15864,4983,47,Thursday,June,29
2023-06-30,682,4631,7,203365.0,654,139765,16546,18706,48,Friday,June,30
2023-07-01,1053,7540,33,203366.0,687,147305,17599,1,49,Saturday,July,1
2023-07-02,1409,13630,122,244101.0,809,160935,19008,40735,50,Sunday,July,2
2023-07-03,1808,16199,104,255662.0,913,177134,20816,11561,51,Monday,July,3
2023-07-04,1909,18619,74,264348.0,987,195753,22725,8686,52,Tuesday,July,4
2023-07-05,1739,17044,40,273783.0,1027,212797,24464,9435,53,Wednesday,July,5
2023-07-06,1957,18994,41,280810.0,1068,231791,26421,7027,54,Thursday,July,6
2023-07-07,1918,18869,45,285131.0,1113,250660,28339,4321,55,Friday,July,7
2023-07-08,1698,16902,31,288353.0,1144,267562,30037,3222,56,Saturday,July,8
2023-07-09,1626,14912,33,292024.0,1177,282474,31663,3671,57,Sunday,July,9
2023-07-10,1590,14411,21,293933.0,1198,296885,33253,1909,58,Monday,July,10
2023-07-11,1434,14165,13,,1211,311050,34687,0,59,Tuesday,July,11
2023-07-12,1523,14502,17,,1228,325552,36210,0,60,Wednesday,July,12
2023-07-13,1332,12945,29,,1257,338497,37542,0,61,Thursday,July,13
2023-07-14,1285,13328,35,,1292,351825,38827,0,62,Friday,July,14
2023-07-15,1220,11845,24,,1316,363670,40047,0,63,Saturday,July,15
2023-07-16,1190,10968,15,,1331,374638,41237,0,64,Sunday,July,16
2023-07-17,1435,12285,24,,1355,386923,42672,0,65,Monday,July,17
2023-07-18,1305,11841,40,,1395,398764,43977,0,66,Tuesday,July,18
2023-07-19,1633,14428,27,,1422,413192,45610,0,67,Wednesday,July,19
2023-07-20,1474,13553,28,,1450,426745,47084,0,68,Thursday,July,20
2023-07-21,1607,13506,27,,1477,440251,48691,0,69,Friday,July,21
2023-07-22,1372,12040,28,,1505,452291,50063,0,70,Saturday,July,22
2023-07-23,1803,15228,62,,1567,467519,51866,0,71,Sunday,July,23
2023-07-24,4303,45924,669,,2236,513443,56169,0,72,Monday,July,24
2023-07-25,7987,96804,668,,2904,610247,64156,0,73,Tuesday,July,25
2023-07-26,2643,31400,126,,3030,641647,66799,0,74,Wednesday,July,26
